Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Description,Car Features
Honda,City Aspire,2020,35000,3930000,Petrol,Lahore,Original,Local,Automatic,Used,"Gujrat, Punjab","Honda city 1.3 automatic 2020 modle for sale 
total Bumper to Bumper geniun 
original sheets lagi hain seats py. abhi tk 39000 km chali hai. looks like new car","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Mirrors, Power Windows, Rear Camera, USB and Auxillary Cable"
Honda,City Aspire,2001,245000,1400000,Petrol,Islamabad,Original,Local,Manual,Used,"Elam Din Block, Lahore","Black Honda City 2001 Total Genuine - Neat and Clean, Interior and Exterior Total Black, Outclass A/C, Islamabad Number, Alloy Rims.","Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, USB and Auxillary Cable"
Daihatsu,Hijet,2014,119000,1950000,Petrol,Karachi,Original,Imported,Automatic,Used,"Liaquatabad, Karachi","hijet full curious 
full option 
2014 reg 2018 oct
cy number
chill ac
retractive mirror
4 power window
keyless entry
every thing in working condition
argent sale
for more information contact on mobile number
","ABS, Air Bags, Air Conditioning, Cruise Control, DVD Player, Front Speakers, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, USB and Auxillary Cable"
Toyota,Yaris,2022,9050,4650000,Petrol,Lahore,Original,Local,Automatic,Used,"Canal Garden, Lahore",Totally genuine not a single scratch or dent.,"Air Conditioning, Alloy Rims, CD Player, Front Speakers"
Suzuki,Wagon R,2019,75000,2095000,Petrol,Lahore,Original,Local,Manual,Used,"Johar Town Phase 1, Lahore","First owner
contact ","Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Immobilizer Key, Power Locks, Power Steering, Power Windows, Rear speakers, USB and Auxillary Cable"
Toyota,Corolla GLI,2016,89500,3700000,Petrol,Islamabad,Original,Local,Manual,Used,"Wah, Punjab","Gli Model 2016 . Registered in 2017 with New Immobilizer Key. 
 After Market Alloy rims. Android panel. Petrol driven, CNG never installed . As good as a brand new car. Non accidental. Engine is good condition . Token tax is up to date. Need to sell the car urgently.","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, DVD Player, Immobilizer Key, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera"
Toyota,Yaris,2021,21000,4800000,Petrol,Karachi,Original,Local,Automatic,Used,"DHA Phase 2 Extension, Karachi","top of the line , New tyres installed a few days ago, ANDROID PANEL, PPF, Leather seats , 100% original 10/9.5 car with Toyota dealership maintened. .  
contact ","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Climate Control, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear AC Vents, Rear speakers, Rear Camera, USB and Auxillary Cable"
Toyota,Yaris,2021,29500,4475000,Petrol,Islamabad,Original,Local,Automatic,Used,"F-7, Islamabad","2021 Model, 29500kms driven , CVT 1.5 ATIV X
Just like new. Buy and Drive no work required. In Original Paint. Excellent condition from inside and out.","Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Climate Control"
Suzuki,Mehran VXR,2008,100000,695000,Petrol,Multan,Original,Local,Manual,Used,"F-16, Islamabad",car islamabad f8 me juj ne use ki hy neat and clean hy,"Alloy Rims, AM/FM Radio, CD Player, Rear speakers, USB and Auxillary Cable"
Suzuki,Wagon R,2017,235000,1775000,Petrol,Lahore,Original,Local,Manual,Used,"Abdullahpur, Faisalabad","bikul ok geri hy 18 in city avrg dyti hy
",CD Player
Honda,City IVTEC,2011,154000,2390000,Petrol,Lahore,Original,Local,Manual,Used,"DHA Phase 2, Lahore",Bio matric available,"Power Mirrors, Power Steering, Power Windows"
Daihatsu,Mira,2021,4500,4080000,Petrol,Karachi,Original,Imported,Automatic,Used,"Gulistan-e-Jauhar Block 4, Karachi","Register: Karachi
Fuel: Petrol
Used: 1000km Drive
Color: Silver","ABS, Air Bags, Air Conditioning, CD Player, Front Camera, Power Mirrors, Power Windows"
Suzuki,Wagon R,2018,50000,2450000,Petrol,Lahore,Original,Imported,Automatic,Used,"Cantt, Sialkot",suzuki wagonr model 2016 import 2017 registration 2018 minor touch ups on the body android and back camera installed,"ABS, Air Bags, Air Conditioning, Alloy Rims, Immobilizer Key, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera"
Toyota,Corolla XLI,2011,100000,1800000,Petrol,Karachi,Original,Imported,Manual,Used,"Multan Vehari Road, Vehari",engen gear tyarers newely,"Air Conditioning, AM/FM Radio, CD Player, DVD Player, Power Locks, Power Mirrors, Power Steering, Rear AC Vents, Rear speakers, USB and Auxillary Cable"
Honda,Civic Oriel,2005,166000,1450000,Petrol,Karachi,Original,Imported,Automatic,Used,"Hamza Residency, Karachi","Registration 2005
Power Steering
Power Windows
Chilled AC
own Engine
Seeing is Believing
for further details
contact","Alloy Rims, CD Player, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, Sun Roof"
Suzuki,Bolan,2003,6790,575000,Petrol,Faisalabad,Original,Local,Manual,Used,"Mustafabad, Kasur","Family use Car
Faisalabad number
Total Genuine Inner
Outer some pice shawer for fresh Look
New tyres
On my name
LiFE Time Token
koi Kaam nhi hone wala
0324//52//50//728","Steering Switches, USB and Auxillary Cable"
Toyota,Yaris,2020,55000,3900000,Petrol,Karachi,Original,Local,Automatic,Used,"Mir Hussainabad, Hyderabad",Toyota Yaris ATIV CVT for sale Lady Doctor professor car,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
Suzuki,Alto,2010,190000,890000,Petrol,Multan,Original,Local,Manual,Used,"Chungi No 7, Multan","Alto 2010 model 
installed led panel new posish seits, 
new tears
chaht or deggi is genien baki touch up ha for new look, 
bio metric on spot, 
papers is all clear, 
car is own my name 
not a single issue ac and heater is 100% 
water droped engine 
call on my whats app
0/3/0/4/8/5/4/4/3/4/1","ABS, Alloy Rims, AM/FM Radio, Front Speakers, Keyless Entry, Rear speakers, USB and Auxillary Cable"
Toyota,Corolla GLI,2015,125000,2890000,Petrol,Sindh,Original,Local,Manual,Used,"Bahawalnagar Bypass, Bahawalnagar",Toyata corolla gli for sale,"ABS, Air Conditioning, AM/FM Radio, Front Speakers, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear speakers, Steering Switches, USB and Auxillary Cable"
Suzuki,Mehran VXR,2015,74000,950000,Petrol,Abbottabad,Original,Local,Manual,Used,"Mirpur, Abbottabad","Suzuki mehran vxr2015
lana wla rabta kera maza lana wla door ra[","Alloy Rims, AM/FM Radio"
Suzuki,Bolan,2018,100000,1250000,Petrol,Sindh,Original,Local,Manual,Used,"Shah Town, Karachi",Hi roof bolan model 2018,"DVD Player, Immobilizer Key"
Daihatsu,Hijet,2021,169000,1430000,Petrol,Punjab,Original,Imported,Automatic,Used,"Pansera Gojra Road, Gojra",13/21  hijet Faisalabad sa gojera road call for details only call,Air Bags
KIA,Sportage,2004,123456,1550000,Petrol,Lahore,Original,Imported,Manual,Used,"Cantt, Lahore",book file orgnal scanned ownar own my name 3s patrol engine exchange possible patrol avrege 15.16 in City,"Alloy Rims, AM/FM Radio, CD Player"
Honda,City IVTEC,2010,145000,2450000,Petrol,Lahore,Original,Local,Manual,Used,"New Chauburji Park, Lahore","Honda City 1.3 Manual. 
Total Car 100% Genuine. koi Touching nai koi shower ni. Total Genuine he guaranteed. Apne mechanic n painter ko sath laen apni tasali krn. Phr baat krn. Tire bilkul ok hn new hn.  Everything is in genuine condition . Original return file is available.  Original book of this car is also available. Engine in pristine condition . All taxes paid.","ABS, Air Conditioning, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
Suzuki,Ravi,2015,26000,825000,Petrol,Karachi,Original,Imported,Manual,Used,"DHA Phase 5, Karachi",out side shower then new look,ABS
Toyota,Passo,2013,215000,2770000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Academy Town, Peshawar","Toyota Passo 2013
XL Package 
2015 registered
Original card
life time token paid 
Key less entry 
Sofa seat 
Red wine colour 
2nd owner
Islamabad registered","ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
Toyota,Corolla GLI,2017,125000,3890000,Petrol,Lahore,Original,Local,Manual,Used,"Cantt View, Sargodha","Original documents
Inner outer complete original except 3 to 4 inches toucup on side door 
New tyres
alloy wheels
Bio matric available on spot","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
Toyota,Corolla XLI,2011,119000,2250000,Petrol,Sindh,Original,Local,Manual,Used,"Nawansher, Abbottabad",Looking for new models,"ABS, Air Bags, Air Conditioning, Front Speakers, Power Locks, Power Mirrors, Power Steering, Power Windows"
Suzuki,Bolan,2011,80000,850000,Petrol,Karachi,Original,Local,Manual,Used,"PIDC, Karachi",need money for urgent,"CD Player, DVD Player, Front Speakers, Keyless Entry, Power Locks, Power Windows, Rear speakers"
KIA,Classic,2005,125482,620000,Petrol,Peshawar,Original,Imported,Manual,Used,"Others, Kamoke",Kia classic for sale,"Air Conditioning, Alloy Rims, AM/FM Radio, Cassette Player, Power Windows, USB and Auxillary Cable"
Suzuki,Alto,2019,150000,1600000,Petrol,Lahore,Original,Imported,Automatic,Used,"DHA City, Lahore","Japanese Imported Car for sale. 
2010 production 2019 import. 
Automatic Transmission. 
All Power Windows. 
Power steering. 
Original Document. 
First Owner After Import. 
Very Good Condition. 
Lahore Registered. 
Fuel Economy Car. 
No Work Required. 
Just Buy And Drive. 
Owner Profession: Doctor.","ABS, Air Bags, Air Conditioning, Immobilizer Key, Power Mirrors, Power Steering"
Suzuki,Baleno,2000,300000,790000,Petrol,Lahore,Original,Imported,Manual,Used,"Others, Gujranwala",No accident shawar hai gari har chez ok hai just buy and Drive,"Air Conditioning, Alloy Rims, Power Locks, Power Mirrors, Power Steering, Power Windows, USB and Auxillary Cable"
Daihatsu,Mira,2012,140000,2450000,Petrol,Karachi,Original,Imported,Automatic,Used,"Karachi Administration Employees Society, Karachi",mira ,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Climate Control, Front Speakers, Heated Seats, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, USB and Auxillary Cable"
Toyota,Passo,2020,28650,4000000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Model Town Extension, Lahore","Toyota  Passo  
2020
AUTOMATIC 
UNREGISTRATION 
Auction Sheet (4.0 Grade) Attach For Satisfaction And Verification100% Original, No. 1 Japan Quality
Fresh Custom Clearance Sep 2023 with New Duty
Engine In Clean & Good Condition 
Excellent Condition
Push Start Engine
Parking Sensor (Front / Back) with Anti-collision mode & Lane Departure Alert
Sofa Seats, Dual SRS Air Bag & Anti-lock Brakes
Dealer Hazrat And Time Waster Stay Away
Only Serious Buyers Contact __
For more information contact on this number(0/3/4/4/4/4/4/6/6/6/2 )","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
Changan,Karvaan,2021,63000,2300000,Petrol,Islamabad,Original,Local,Manual,Used,"Apna Town Housing Scheme, Daska",just family used car very good condition new tyer installed,"Air Conditioning, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Steering, Power Windows"
Suzuki,Alto,2010,96966,680000,CNG,Mardan,Original,Imported,Manual,Used,"Baghdada, Mardan","Suzuki Mehran Car for Sale Model 2010 Sindh No. Smart Cart file, copy with Original Number Plats by hand. Home Used Car. No mechanical work just buy and drive. Contact No: ",Front Speakers
Daihatsu,Mira,2020,28000,3550000,Petrol,Unregistered,Original,Imported,Automatic,Used,"Canal Bank Extension, Lahore","DAIHATSU MIRA ES X SA 2020
New Tyres
Model 2020
Import 2023
Engine 100%
Good On fuel
N Registration
Neat and Clean
Family Used Car
Suspension 100%
Milage 28,980KM
Price is flexible
Just Buy and Drive
Everything is Alright 
INTERIOR AND EXTERIOR LIKE NEW 
CONTACT ME ON WHATSAPP AND CALL :- 0/3/2/1/8/4/4/7/7/5/7.","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cool Box, Cruise Control, Climate Control, DVD Player, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear AC Vents, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
Suzuki,Wagon R,2017,68000,2100000,Petrol,Lahore,Original,Imported,Manual,Used,"Punjab Government Labor Colony, Lahore","second hand gare h total jenion h only sereus Bayer  rabta kry plz. 
0/3/0/2/4/4/0/8/0/3/7","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Heated Seats, Power Locks, Power Mirrors, Power Steering, Steering Switches, USB and Auxillary Cable"
Honda,Civic Prosmetic,2002,12345,1375000,Petrol,Punjab,Original,Local,Automatic,Used,"Multan Road, Bahawalpur","IT'S FAMILY USED CAR MECHANICALLY PERFECT CONDITION INTERIOR GENUINE OUTER SHOWER FOR FRESH LOOK 
EPS(ELECTRONIC POWER STEERING) INSTALLED
ANDROID PANEL INSTALLED SMART CARD AVAILABLE ORIGINAL DOCUMENT CAR IS ON OUR NAME NEED TO SELL THE CAR URGENTLY
SOLD TO BE NEAREST OFFER","ABS, Air Conditioning, Alloy Rims, Front Speakers, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
Suzuki,Wagon R,2019,86000,2150000,Petrol,Lahore,Original,Local,Manual,Used,"Blue Area, Islamabad",original smart card return file computerised num plates immobilizer key,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, DVD Player, Front Speakers"
Honda,Civic Prosmetic,2014,112900,3585000,Petrol,Lahore,Original,Local,Automatic,Used,"Taj Bagh, Lahore","only one fender paint hein 
bake total genuine hein 
first owner hein","ABS, Air Bags, Alloy Rims, AM/FM Radio, CD Player, Cruise Control, Climate Control, DVD Player, Front Speakers, Front Camera, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Sun Roof, Steering Switches, USB and Auxillary Cable"
Toyota,Corolla GLI,2018,140000,3950000,Petrol,Lahore,Original,Local,Manual,Used,"Canal Bank Extension, Lahore",peso ke zerort ha ais wjA sa sell kr rhA ho,Air Bags
Daihatsu,Cuore,2001,119000,810000,Petrol,Multan,Original,Imported,Manual,Used,"Bahria Town Rawalpindi, Rawalpindi","outside 60% genuine paint 
inside 100%genuine paint 
engine /suspension 100%
19 to 20kms on long. 16 to 17kms city average 
Ac /heater working 
complete original documents on my name","Air Conditioning, Alloy Rims, CD Player, Front Speakers, USB and Auxillary Cable"
Suzuki,Mehran VXR,2016,80000,1175000,Petrol,Lahore,Original,Local,Manual,Used,"Sargodha to Sillanwali Road, Sargodha",Home used car 80%janun All Dacomants clear,Rear AC Vents
Toyota,Corrolla Altis,2008,20000,2200000,Petrol,Sindh,Original,Local,Automatic,Used,"Dhudi Wala, Faisalabad",full fresh engine one hand use colour blue external paint condition ruff .,"Air Bags, Air Conditioning, AM/FM Radio, CD Player, Cassette Player, Cool Box, Cruise Control, Climate Control, Front Speakers, Power Locks, Power Windows, Rear speakers, Sun Roof"
Daihatsu,Mira,2007,125000,1230000,Petrol,Karachi,Original,Imported,Automatic,Used,"Hassan Parwana Colony, Multan",DIAHATSU MIRA TWO DOOR 2007/2012 INNER ORIGINAL OUTER TOUCH UP HOME USED CAR,"ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
Mitsubishi,Ek Wagon,2012,85000,1700000,Petrol,Lahore,Original,Imported,Automatic,Used,"Sabzazar, Lahore","It's Condition is very outstanding
File Book original
Bumper To Bumper Genion Car
Model 2012
Registration Number 2017
Urgent sell","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Keyless Entry, Navigation System, Power Mirrors, Power Steering, Power Windows, USB and Auxillary Cable"
Hyundai,Santro,2005,120526,810000,Petrol,Karachi,Original,Imported,Manual,Used,"DHA Phase 2 Extension, Karachi","Hyundai santro 2005 model Water dropping Engine. . Original seats. household use. tax paid by June 2023. original documents. 2nd owner. No work required. household use. just buy and drive. 
oil and filter changed on ","Air Conditioning, Alloy Rims, AM/FM Radio, Immobilizer Key, USB and Auxillary Cable"
Toyota,Yaris,2021,32000,4490000,Petrol,Punjab,Original,Local,Automatic,Used,"Shadman 1, Lahore",Toyota Yaris ,"Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cool Box, Cruise Control, DVD Player, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear AC Vents"
Honda,Civic Prosmetic,2011,201000,2560000,Petrol,Islamabad,Original,Local,Automatic,Used,"Warsak Road, Peshawar","Honda Civic Vti Prosmatic 1.8 Reborn 2011 
Everything is working fine. 
3,4 pcs spray Main parts in original condition. 
non-accident car . smart card available. 
Token tax paid. 
price is bit negotiable.","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Front Camera, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera"
Toyota,Yaris,2021,60000,3760000,Petrol,Lahore,Original,Local,Manual,Used,"Zafarwal Road, Narowal","bumper to bumper genuine
only serious buyer contact 
","ABS, Air Bags"
Toyota,Passo,2012,209155,1900000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Partab Nagar, Faisalabad","only Serious buyer contact krain Shukriyaa everything is genuine 10/9 okay hai video on demand whatsaap. 
",Rear AC Vents
Suzuki,Wagon R,2014,250000,2250000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Others, Mansehra",Suzuki wagon r japani,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows"
Daihatsu,Move,2020,13500,3750000,Petrol,Karachi,Original,Imported,Automatic,Used,"RJ Shopping Mall, Karachi","*DAIHATSU MOVE CUSTOM X Top of the line(660cc)*
Model 2020 & Fresh Import & Registered April 2023 
R grade import 
Auction Sheet Available Verified 
1 pc repainted from Japan
4,000 km Import mileage
Only 13,500KM Now 
Pearl White Color
Automatic transmission 
Push Start
Climate Control A/C
Heated Seats
Auto Adjustable Headlights
Traction control 
Anti Collision Control
Radar
Leather Steering
Full Seat
Air purifier ION
Android TV Back CAM
1st Owner
Very less kms driven in Pakistan 
Registered 5 months ago","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Cruise Control, Climate Control, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Steering Switches, USB and Auxillary Cable"
Hyundai,Santro,2008,78000,1125000,Petrol,Lahore,Original,Local,Manual,Used,"Pansera Gojra Road, Gojra",mobail number ,Front Speakers
Mitsubishi,Pajero Mini,2007,12345,1255000,Petrol,Karachi,Original,Imported,Manual,Used,"Saddar, Karachi","0/3/2/1/2/6/8/6/0/9/5
exchange possible 
Manual gear
soundless engine change 1100cc
Inside100% original
Outside light shower
Child A. C 
Petrol 
Power window
Leather seats
Good tubeless tyer with beautiful oly rim
CPLC Clear
Complete original return file
Original number plats 
Home use car
No any work
Come with mechanic or anyone to save time of both of us. . . .","Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Power Windows, Rear AC Vents"
Suzuki,Bolan,2007,100000,450000,Petrol,Sahiwal,Original,Imported,Manual,Used,"Sitara Colony, Lahore",tire new engine ok makanikal all ok body ka over all Kam hony Wala hy,USB and Auxillary Cable
Daihatsu,Mira,2012,155000,2170000,Petrol,Lahore,Original,Imported,Automatic,Used,"GT Road, Wah","mira 2012 model 2015 register
lahore no
complete documents 
life time token
non accidental","ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Cassette Player, Front Speakers, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, USB and Auxillary Cable"
Suzuki,Wagon R,2018,64000,2085000,Petrol,Lahore,Original,Local,Manual,Used,"Others, Gujranwala",book file original. life time token paid. Ac hetar working. power window. power stirring. Alloy rims installed. Lcd tv and back camra.,"Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Immobilizer Key, Power Locks, Power Steering, Power Windows, Rear speakers, Steering Switches, USB and Auxillary Cable"
Daihatsu,Cuore,2010,218000,1020000,Petrol,Lahore,Original,Local,Manual,Used,"Bahria Town - Sector B, Lahore","perfect engine
chill AC
new tyres
alloy wheels
minor touching
clean interior
perfect suspension
need to sell urgent","Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers"
Toyota,Yaris,2022,39000,3900000,Petrol,Punjab,Original,Local,Manual,Used,"Badami Bagh, Lahore",Yaris 22 model for sale,"ABS, Air Bags, Air Conditioning, Power Locks, Power Mirrors, Power Steering, Power Windows"
Toyota,Corrolla Altis,2005,85000,1565000,Petrol,Karachi,Original,Local,Automatic,Used,"Clifton, Karachi","Contact # 0/3/0/1/0/2/1/1/2/5/1. 
Toyota Corolla SE Saloon. 1.6. 
Automatic Transmission. 
Model 2005. 
First Owner. 
Excellent Condition. 
Original Sound System. 
Leather Seat Covers. 
Expensive Alloyrims. 
Neat and clean Interior. 
Own Sealed Powerful and 
Soundless Engine. 
Driven only Petrol. 
Outside few touchups for fresh look. 
Inside Fully Original.  
Non accidental Guaranteed. 
Chilled AC , Smooth Drive. 
Gud Suspension. 
Gud Transmission. 
All Documents Clear. 
Tax Paid up to Date. 
Company maintained family used Car. 
No work required , Just buy and Drive. 
Need to Sell the car Urgently,

Price is Almost Final. 

Demand: 1565,000/- Only. 
Only serious buyer contact. 
Phone # 0/3/0/1/0/2/1/1/2/5/1. 

Location : DHA - Clifton. 
Jazak Allah.","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Immobilizer Key, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, USB and Auxillary Cable"
Suzuki,Bolan,2013,50000,780000,Petrol,Karachi,Original,Local,Manual,Used,"Landhi 1, Karachi",new conditions bolan home used sound system new battery new tubeless tyre,"Alloy Rims, CD Player, DVD Player"
Honda,City Aspire,2018,95000,3900000,Petrol,Lahore,Original,Imported,Automatic,Used,"Alipur Chatha Road, Hafizabad",total original car all ok,"ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Cassette Player, Cool Box, DVD Player, Front Speakers, Power Locks, Power Mirrors, Power Windows, Rear AC Vents, Rear speakers, Rear Camera, USB and Auxillary Cable"
Toyota,Corolla XLI,2011,60000,2000000,Petrol,Karachi,Original,Local,Manual,Used,"Cantt, Quetta",XLI  converted GLI. Abs break. 50% in own colour non accedental . well maintained no work required. price slightly negotiatable,"ABS, Air Bags, Air Conditioning, Alloy Rims"
Daihatsu,Mira,2016,81000,1630000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Multan, Punjab",Mira import and registered 2016 Model 2011 Automatic A one for sale,"Air Bags, Air Conditioning, CD Player, Heated Seats"
Suzuki,Mehran VXR,2012,123456,850000,Petrol,Islamabad,Original,Local,Manual,Used,"Dhok Elahi Baksh, Rawalpindi","islamabad number
serwa breaks
lock remot system install
LCD install
4 speaker Kenwood
ac lga hae but need gas
engin 100%
gair 100%
no work require",ABS
Toyota,Corolla GLI,2005,12345,1500000,Petrol,Attock,Original,Imported,Manual,Used,"Isa Khel, Mianwali",color cht dgi bont ghengin,"Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Front Camera, Power Locks, Power Mirrors, Power Steering, Rear Camera"
Suzuki,Baleno,2003,123456,780000,Petrol,Karachi,Original,Local,Manual,Used,"Shah Faisal Town, Karachi",excellent condition no rust no accident 100%  soundless engine  good tyres alloy rims excellent suspension comfortable drive documents original no. plates original,"AM/FM Radio, CD Player, Power Locks, Power Mirrors, Power Steering, Power Windows, USB and Auxillary Cable"
Suzuki,Mehran VXR,2017,18000,1265000,Petrol,Lahore,Original,Local,Manual,Used,"Canal Colony, Hafizabad","Suzuki Mehram VXR 
2nd owner registered 
wapda employee hu Lahore say ata jata hu 
2017 model original genuine 
bumper scratch front and back
Ac Chill and heather original installed well working maintained everything is perfect   
totally interior and body original 
more details for contact ","Air Conditioning, CD Player, DVD Player, Front Speakers, Immobilizer Key, Rear AC Vents, USB and Auxillary Cable"
KIA,Classic,2000,12345,365000,Petrol,Lahore,Original,Local,Manual,Used,"Central Park Housing Scheme, Lahore","Kia classic 2000 model
Lahore registration documents ok Bio metrics available
engine suspension
Smooth drive
New tyres
document ok
Lahore location","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cool Box, Cruise Control, DVD Player, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors"
Toyota,Corolla GLI,2013,225000,2550000,Petrol,Lahore,Original,Local,Manual,Used,"Murala Mandi Bahauddin Road, Mandi Bahauddin","mechanical 100%
body 70%
bio metric available
lush condition","ABS, Air Conditioning, AM/FM Radio, CD Player, DVD Player, Front Speakers, Power Steering, Power Windows, Rear Camera"
Daihatsu,Mira,2013,138000,1500000,Petrol,Karachi,Original,Imported,Manual,Used,"Abdullah Gabol Goth, Karachi","Daihatsu Mira (pleo)
Model 2013

 registration 2016
A/c chilled 
Power window
Eps steering 
Neat and clean interior 
Golden color  (outer body shower)
Transmission Manual 
New tyre
New battery 
Own engine 
Transfer must 
More details contact on WhatsApp Also","ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, DVD Player, Front Speakers, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
Honda,City IVTEC,2013,115000,2550000,Petrol,Lahore,Original,Local,Manual,Used,"Chaklala Scheme, Rawalpindi",aoa Honda city family used car side shower all seal completel non accident car just front bumper crack Huwa tha wo new lgwaya hai biometric available on the spot  special extra add big new LCD install new fog lamp install new tyre install new rim Install and ome special leather maat extra hai sath four speaker install and working price almost final,"ABS, Air Conditioning, Alloy Rims, Front Speakers, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
